bedrooms,bathrooms,sqft,age_years,garage_spaces,neighborhood,price
4,1,2481,25,2,Downtown,543434
5,1,2154,37,1,Rural,264291
3,3,1776,0,2,Suburbs,311472
5,2,2034,19,2,Suburbs,385312
5,1,2099,27,2,Downtown,455730
2,3,2225,15,2,Downtown,446473
3,2,1462,46,2,Waterfront,443699
3,1,2334,16,2,Downtown,465792
3,2,1455,39,2,Suburbs,244143
5,3,2816,27,1,Downtown,572886
4,1,1614,11,2,Suburbs,280772
3,2,2148,26,2,Downtown,446020
5,1,2503,41,3,Waterfront,787218
2,2,1874,46,2,Waterfront,554233
4,3,2170,29,2,Waterfront,686434
2,3,2718,40,2,Downtown,522813
4,1,2282,33,2,Waterfront,725135
5,2,2178,36,2,Suburbs,386014
1,1,1158,5,1,Suburbs,219416
4,1,1533,6,2,Suburbs,268043
2,2,2523,31,2,Downtown,502606
5,2,2285,31,2,Downtown,469201
4,2,2361,24,1,Waterfront,709075
1,3,2318,32,2,Downtown,438948
1,1,2645,6,2,Suburbs,415240
3,1,1869,11,0,Suburbs,300503
3,3,2060,15,2,Waterfront,676913
2,2,1486,15,2,Rural,183853
4,3,1361,42,2,Waterfront,461968
4,3,1178,35,3,Downtown,276720
3,3,1557,12,2,Downtown,363474
4,1,2776,6,2,Suburbs,481543
4,3,1224,35,2,Downtown,278276
1,1,1848,46,1,Downtown,300996
3,1,1353,8,1,Suburbs,246340
5,1,1700,31,2,Suburbs,321941
3,2,2085,10,1,Rural,229432
5,1,1650,7,2,Downtown,372082
1,1,2545,32,2,Downtown,486813
2,2,2767,22,2,Downtown,508639
4,1,875,24,2,Rural,113245
1,3,1659,7,2,Waterfront,522834
4,3,2030,44,2,Waterfront,658285
2,1,2563,21,2,Rural,334187
2,2,1773,3,1,Suburbs,341605
1,3,1990,39,2,Suburbs,322880
2,2,1422,2,2,Suburbs,248560
5,2,1234,28,2,Suburbs,265503
2,3,2723,40,2,Suburbs,428532
4,2,1088,28,0,Suburbs,183953
4,3,3164,33,2,Rural,364297
4,2,2363,33,2,Rural,274107
4,3,2340,27,2,Waterfront,743549
5,1,2288,12,3,Waterfront,737040
3,3,1874,14,2,Suburbs,336751
1,3,2196,22,3,Downtown,472787
4,3,1906,43,3,Downtown,414442
2,3,2277,25,2,Suburbs,410315
4,2,1983,3,2,Waterfront,675593
2,1,1525,25,0,Downtown,301309
2,3,1565,39,2,Rural,179262
4,2,1508,8,2,Downtown,366626
5,1,2485,4,1,Downtown,515582
2,1,1691,31,1,Suburbs,271151
2,1,1044,19,3,Downtown,241915
4,1,2198,49,2,Downtown,439408
2,3,2757,10,2,Suburbs,445183
2,3,2387,14,2,Waterfront,693024
4,2,1698,31,0,Suburbs,308433
4,2,1207,27,0,Suburbs,228896
1,2,1933,21,1,Suburbs,273018
5,1,1920,40,0,Downtown,372734
5,1,1515,16,0,Rural,195598
2,3,2276,25,3,Downtown,474245
5,1,2923,43,2,Rural,311229
2,1,2111,6,1,Suburbs,344886
1,1,2080,41,1,Rural,230968
4,2,1531,25,2,Downtown,332819
4,2,2699,24,0,Suburbs,447923
4,3,1962,9,3,Downtown,432886
5,1,1711,44,2,Downtown,384877
1,1,2032,18,2,Suburbs,310791
5,3,2236,10,1,Downtown,461235
5,1,2070,12,0,Suburbs,360020
1,1,2603,7,2,Downtown,472883
1,2,2192,39,2,Suburbs,303196
1,3,1858,3,2,Waterfront,594443
1,3,2201,46,1,Suburbs,320405
4,3,2250,30,2,Suburbs,366800
3,3,1352,27,2,Suburbs,234037
3,2,2575,10,2,Waterfront,769839
1,2,1850,42,1,Suburbs,281590
3,1,1862,0,1,Suburbs,300481
3,1,2376,48,2,Rural,278311
1,1,2374,46,2,Waterfront,668192
3,1,1650,37,2,Suburbs,254438
5,2,2401,23,2,Suburbs,412356
2,3,1720,46,2,Waterfront,504278
2,2,2910,30,2,Suburbs,464168
1,1,1586,40,2,Downtown,320316
4,2,2120,45,3,Downtown,466159
1,3,1609,49,2,Waterfront,514105
4,3,3111,25,3,Downtown,594455
2,2,1381,48,2,Waterfront,394008
1,2,2262,49,1,Suburbs,379107
5,2,1633,4,2,Suburbs,282868
3,1,1823,19,1,Downtown,404156
4,2,2227,40,3,Downtown,468565
3,2,2612,10,2,Rural,313673
3,2,2812,32,0,Waterfront,776763
1,3,1232,49,2,Suburbs,192206
3,3,2134,37,3,Suburbs,405529
5,1,2730,26,0,Suburbs,450508
3,1,1157,33,2,Suburbs,199212
1,3,2157,14,2,Suburbs,365693
