tenure_months,monthly_charges,total_charges,contract_type,payment_method,senior_citizen,num_services,churn
46,96.72,4432.84,Month-to-month,Credit card,1,4,1
3,88.45,108.09,Month-to-month,Electronic check,1,3,1
29,62.0,1798.93,One year,Electronic check,0,3,0
35,53.37,1916.04,Month-to-month,Credit card,0,7,0
39,52.17,2073.3,Month-to-month,Credit card,0,1,1
18,73.22,1119.83,One year,Bank transfer,0,5,0
20,57.32,1289.17,Two year,Bank transfer,0,2,0
43,66.08,2989.42,Two year,Credit card,0,7,0
60,64.58,3844.9,Two year,Mailed check,0,2,0
58,57.64,3519.95,Month-to-month,Bank transfer,1,5,1
23,71.99,1644.22,Month-to-month,Credit card,1,6,1
34,61.83,2062.62,Two year,Credit card,0,2,1
33,47.69,1469.89,One year,Electronic check,0,6,1
50,68.81,3433.91,Month-to-month,Bank transfer,0,5,0
48,67.88,3243.99,One year,Electronic check,1,3,1
10,47.3,442.58,Month-to-month,Bank transfer,0,6,0
33,53.65,1795.37,Month-to-month,Electronic check,0,1,1
47,73.07,3459.55,Two year,Mailed check,0,5,0
33,59.59,1821.46,One year,Mailed check,0,7,0
48,79.63,3914.02,Two year,Mailed check,0,5,0
26,114.43,3052.82,Two year,Mailed check,0,1,0
20,59.6,1188.96,Month-to-month,Bank transfer,0,6,1
15,45.52,666.73,Two year,Credit card,1,7,0
37,73.95,2708.4,Month-to-month,Credit card,1,5,1
33,60.95,1965.78,Month-to-month,Credit card,0,3,1
17,80.82,1278.68,Month-to-month,Bank transfer,0,5,1
5,111.87,454.16,Month-to-month,Credit card,0,6,1
50,51.93,2699.35,One year,Mailed check,0,7,0
56,63.44,3735.78,Month-to-month,Mailed check,0,5,1
4,91.5,451.07,One year,Bank transfer,0,1,1
3,53.74,117.77,One year,Mailed check,0,4,1
21,35.82,759.06,Two year,Bank transfer,0,4,0
40,77.71,3023.72,Month-to-month,Electronic check,0,1,1
3,51.12,127.45,Two year,Credit card,0,4,0
21,52.47,1172.38,One year,Mailed check,0,4,1
48,35.66,1598.29,One year,Mailed check,0,6,1
57,89.51,4960.06,Month-to-month,Bank transfer,0,6,0
49,97.8,4848.35,Month-to-month,Credit card,0,1,0
8,22.72,96.99,Month-to-month,Mailed check,0,1,1
42,82.42,3402.11,Two year,Credit card,0,5,0
36,34.42,1131.88,Two year,Mailed check,0,1,0
