study_hours_per_week,previous_grade,attendance_rate,parent_education,school_type,extracurricular_activities,final_grade
3.4,82.1,72.7,Bachelor,Public,1,59.4
3.9,67.3,58.2,Bachelor,Public,0,31.3
11.1,72.0,91.6,High School,Private,2,73.0
12.6,73.1,93.1,High School,Public,0,55.2
4.3,59.6,97.4,High School,Public,2,52.9
4.4,77.2,81.0,Bachelor,Public,2,51.2
2.5,100.0,62.2,High School,Public,1,55.7
6.1,62.6,58.9,High School,Private,2,47.8
14.4,82.9,85.1,PhD,Public,1,90.0
8.9,51.2,67.0,Bachelor,Public,1,52.2
5.0,48.3,69.2,Bachelor,Private,2,41.7
5.0,88.8,73.5,Master,Public,1,62.4
2.7,94.4,32.5,High School,Public,1,53.1
4.2,90.6,78.2,PhD,Public,0,57.3
4.2,59.9,93.7,Bachelor,Public,1,50.0
4.4,63.3,75.6,Master,Public,3,51.5
5.7,82.9,69.9,Bachelor,Public,1,57.3
10.0,69.8,78.1,Master,Public,2,55.5
8.7,78.3,93.7,Master,Public,3,74.3
1.9,66.9,89.0,High School,Public,3,44.5
7.8,95.2,82.8,High School,Private,1,67.0
5.6,65.2,98.7,Bachelor,Private,2,54.9
6.6,57.6,95.9,Bachelor,Public,0,68.1
2.3,100.0,83.9,High School,Public,1,49.3
10.3,86.3,86.0,High School,Public,1,56.9
3.8,64.9,44.9,High School,Public,0,39.8
6.7,81.4,70.6,PhD,Public,2,65.7
10.3,64.0,89.4,Bachelor,Private,1,70.2
5.4,100.0,73.4,Master,Private,1,76.5
6.9,55.4,85.2,Bachelor,Public,1,48.5
2.3,73.0,44.8,Bachelor,Public,2,63.9
2.9,100.0,61.5,Master,Public,1,69.3
10.5,100.0,90.4,High School,Public,2,55.3
5.1,82.2,57.7,Bachelor,Private,0,61.5
1.9,75.9,80.4,High School,Public,3,39.9
13.2,67.1,85.9,High School,Public,0,50.1
4.5,51.2,86.9,High School,Public,0,28.5
5.1,81.8,75.6,High School,Public,2,66.5
7.8,97.6,87.6,Bachelor,Public,1,73.5
3.5,67.9,90.7,Bachelor,Public,2,67.2
5.6,71.7,87.7,Bachelor,Private,0,57.8
2.9,62.7,94.0,Master,Public,0,55.4
,70.8,70.4,Master,Public,1,
6.3,57.3,93.4,High School,Public,2,46.0
4.6,56.3,78.7,PhD,Private,2,64.4
9.4,66.2,91.2,High School,Public,1,65.2
6.4,76.3,56.9,Bachelor,Public,3,63.1
8.4,82.9,89.9,Master,Private,0,67.1
3.2,40.0,84.5,Bachelor,Public,1,40.8
,82.1,86.9,High School,Private,1,
7.3,88.7,92.5,High School,Public,1,65.2
4.5,78.6,48.8,High School,Public,1,53.5
3.2,91.4,82.3,High School,Public,3,76.4
9.8,46.2,71.7,High School,Public,1,48.9
5.8,88.9,50.3,High School,Public,2,53.4
7.7,66.2,42.9,Bachelor,Public,2,44.6
5.6,92.2,76.1,Bachelor,Private,1,73.1
17.1,63.4,80.5,Bachelor,Private,0,73.8
3.3,76.2,75.0,Master,Public,1,60.4
3.0,89.3,,Master,Private,0,
2.8,48.8,86.3,High School,Private,1,46.9
7.9,76.4,,Master,Private,0,
3.1,55.4,92.0,High School,Public,0,38.0
5.1,49.1,78.1,High School,Private,3,46.0
15.8,61.7,96.7,High School,Public,1,74.5
6.6,53.6,91.8,Bachelor,Public,0,41.3
9.0,81.7,,High School,Public,1,
2.4,71.3,57.7,High School,Public,0,33.8
7.7,84.9,72.9,Bachelor,Private,3,62.0
3.1,61.0,78.2,Master,Public,1,50.6
2.9,85.5,67.4,Bachelor,Public,0,46.6
3.4,68.1,92.3,High School,Public,1,47.9
,46.8,79.1,Bachelor,Private,1,
3.5,67.5,88.5,Master,Private,0,56.1
2.5,77.5,73.0,High School,Private,0,43.5
6.7,62.9,81.6,Bachelor,Private,1,58.5
11.3,72.3,44.7,Bachelor,Private,1,59.5
5.3,70.7,71.2,High School,Private,2,42.8
2.1,72.4,93.7,Master,Private,1,49.9
3.3,81.5,67.4,High School,Public,3,50.5
3.3,82.6,91.0,High School,Public,1,46.6
10.0,49.2,90.2,High School,Private,3,59.4
8.8,68.4,77.5,High School,Public,2,60.5
5.0,93.4,93.6,Bachelor,Private,0,53.8
2.7,86.9,72.6,Master,Public,0,47.3
5.0,63.8,92.5,High School,Private,1,26.9
4.8,40.0,90.4,Bachelor,Public,2,48.0
1.4,90.3,79.9,High School,Private,0,45.6
4.3,100.0,60.7,Master,Private,1,60.6
4.4,53.7,70.3,High School,Public,2,44.5
5.6,77.7,62.5,Bachelor,Public,1,54.0
8.2,58.3,75.8,Bachelor,Private,1,63.5
4.2,100.0,73.7,High School,Private,0,68.2
8.1,89.5,83.0,Bachelor,Public,2,61.0
2.2,89.0,91.1,Bachelor,Public,2,47.5
3.9,100.0,86.4,High School,Public,0,71.4
4.0,69.5,78.4,Master,Private,0,45.1
3.8,71.1,72.4,Bachelor,Public,1,42.5
8.3,73.4,46.1,High School,Public,1,64.0
5.5,79.1,65.3,Master,Private,1,61.8
1.3,75.7,77.3,Master,Public,0,39.3
6.6,62.4,87.3,Bachelor,Private,0,50.9
5.5,80.7,99.0,Bachelor,Public,1,54.4
2.6,58.2,94.3,Bachelor,Public,0,39.3
1.3,93.9,56.4,Bachelor,Public,0,55.5
7.9,78.2,69.2,Bachelor,Public,1,66.7
3.0,74.4,90.4,Bachelor,Public,0,55.7
1.4,51.3,71.4,High School,Public,1,38.6
5.1,50.3,60.0,Bachelor,Public,0,33.1
7.2,71.8,83.7,High School,Private,1,57.9
2.9,67.0,30.9,Master,Private,1,46.8
1.9,74.2,91.2,High School,Public,1,47.6
14.7,66.4,92.5,High School,Public,3,76.4
5.0,99.7,,High School,Private,1,
1.6,82.8,87.6,Bachelor,Private,1,53.7
4.3,89.0,40.9,Master,Public,1,29.5
10.6,77.1,74.1,Master,Private,0,60.8
0.7,87.5,,Bachelor,Public,0,
7.1,62.6,76.1,Bachelor,Public,1,67.4
8.9,100.0,87.6,High School,Private,1,60.5
2.3,55.3,73.9,Bachelor,Public,2,38.0
7.2,61.5,78.7,Master,Public,3,67.6
17.2,75.0,87.9,Master,Public,0,68.8
2.9,59.0,89.4,High School,Private,1,44.5
4.5,84.3,88.7,High School,Private,1,74.3
14.5,73.1,74.0,High School,Public,1,66.5
7.4,65.6,75.7,Master,Public,0,45.6
1.5,73.4,85.1,Bachelor,Public,1,54.2
10.9,65.2,64.6,Master,Public,1,51.2
10.6,60.4,86.1,High School,Public,3,55.0
,64.8,86.2,Master,Private,3,
7.0,72.3,80.3,High School,Private,2,53.8
7.6,90.8,77.8,Bachelor,Public,1,58.6
6.5,79.1,94.2,High School,Public,0,75.6
2.2,57.7,63.9,High School,Private,0,45.4
1.4,76.0,90.1,Bachelor,Public,1,40.9
2.8,79.7,52.6,High School,Private,1,47.2
3.0,79.0,66.9,High School,Public,2,40.3
4.2,55.6,76.4,High School,Public,0,31.6
6.0,52.3,61.9,Master,Private,0,55.5
5.1,70.0,92.2,Bachelor,Public,1,57.0
7.3,75.8,81.5,High School,Public,2,47.3
4.7,80.7,88.5,Master,Public,0,70.2
6.2,76.0,72.4,High School,Public,0,34.7
7.0,56.8,73.9,Master,Public,0,50.4
