age,income,spending_score,annual_purchases,avg_order_value,days_since_last_purchase,preferred_category
58,44592,21,2,153.48,63,Home
32,48289,56,5,141.81,70,Clothing
23,107397,83,8,25.72,6,Electronics
31,60495,82,8,128.36,36,Electronics
30,123850,84,8,95.51,29,Electronics
55,66463,20,2,156.59,41,Home
62,85392,41,4,70.02,28,Home
66,74118,26,2,36.69,25,Home
40,141082,72,7,128.67,52,Clothing
20,125647,84,8,116.52,25,Electronics
23,102357,79,7,169.29,40,Electronics
74,142945,43,4,123.92,91,Home
22,36006,91,9,61.02,19,Electronics
23,142108,77,7,175.97,25,Electronics
35,89429,73,7,49.28,23,Clothing
31,117841,67,6,146.33,44,Clothing
59,39358,58,5,134.3,69,Home
64,62087,30,3,103.21,35,Home
58,120198,55,5,59.53,42,Home
71,130704,23,2,61.23,9,Home
69,71347,45,4,68.19,28,Home
54,144867,40,4,58.27,64,Home
43,145957,79,7,45.72,9,Clothing
33,127647,85,8,117.02,38,Electronics
45,147679,75,7,85.16,9,Clothing
50,94686,25,2,156.04,29,Home
27,112240,75,7,162.57,28,Electronics
56,38326,44,4,88.69,60,Home
51,62953,55,5,174.94,2,Home
61,124466,27,2,142.71,138,Home
66,64973,41,4,40.08,56,Home
28,89470,70,7,191.69,47,Clothing
34,95612,61,6,111.38,7,Clothing
73,111959,39,3,171.5,65,Home
56,56071,29,2,87.3,42,Home
52,132056,53,5,185.33,42,Home
49,32552,57,5,187.24,40,Clothing
33,37592,65,6,178.04,6,Clothing
23,125932,85,8,166.88,35,Electronics
67,46483,28,2,138.76,141,Home
28,64741,86,8,177.04,28,Electronics
31,100686,62,6,148.33,26,Clothing
60,115180,43,4,98.86,67,Home
46,45860,65,6,60.45,22,Clothing
19,107110,87,8,61.42,15,Electronics
18,39305,92,9,133.6,15,Electronics
22,148675,71,7,174.73,5,Electronics
50,61195,37,3,140.42,28,Home
52,47342,56,5,123.72,32,Home
68,91993,46,4,54.27,13,Home
60,86498,42,4,96.24,60,Home
73,125561,23,2,141.21,166,Home
24,37944,82,8,151.08,7,Electronics
33,55112,62,6,116.53,9,Clothing
45,54050,67,6,103.27,56,Clothing
22,88082,95,9,175.04,36,Electronics
24,36630,90,9,199.87,1,Electronics
23,128771,97,9,62.55,27,Electronics
49,93092,63,6,175.64,58,Clothing
21,51579,82,8,20.39,25,Electronics
34,132769,79,7,71.34,45,Electronics
64,132676,55,5,139.14,63,Home
27,54890,79,7,59.19,4,Electronics
55,126434,54,5,30.97,41,Home
21,36572,88,8,105.82,34,Electronics
28,37455,100,10,111.41,12,Electronics
22,107992,72,7,141.54,16,Electronics
43,45713,65,6,124.21,3,Clothing
