PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
614,1,Passenger_614,female,32.7,1.0,1,28198,78.39,nan54,S,0
754,2,Passenger_754,female,37.0,2.0,2,61253,74.18,E63,C,0
163,3,Passenger_163,male,29.0,2.0,2,70649,72.39,A15,C,0
437,1,Passenger_437,female,38.7,3.0,0,70760,44.28,,,0
204,3,Passenger_204,male,16.4,0.0,1,94644,99.19,nan66,S,1
737,2,Passenger_737,male,26.4,1.0,4,68506,-2.35,D8,S,0
237,2,Passenger_237,male,11.1,0.0,1,35641,26.28,C52,S,0
98,2,Passenger_98,female,35.9,4.0,1,54879,147.66,A17,,1
272,3,Passenger_272,male,41.4,0.0,2,42895,34.72,D86,C,1
444,2,Passenger_444,female,18.8,4.0,0,56610,,A132,S,0
158,3,Passenger_158,male,25.7,4.0,4,90839,80.37,C115,,1
387,2,Passenger_387,female,16.0,2.0,3,87388,61.9,B25,,1
300,1,Passenger_300,female,39.4,1.0,1,70669,82.3,B145,S,1
496,2,Passenger_496,female,25.9,0.0,2,60701,110.22,,,0
82,3,Passenger_82,female,27.1,2.0,3,83796,-19.3,,C,1
620,3,Passenger_620,male,20.3,1.0,1,80132,83.61,D6,S,1
996,1,Passenger_996,male,21.4,3.0,1,14224,63.4,C100,S,1
218,3,Passenger_218,male,44.6,4.0,1,42235,21.12,,S,1
594,2,Passenger_594,female,4.4,4.0,1,56447,135.94,D120,S,1
129,1,Passenger_129,male,14.6,1.0,4,22493,24.83,,S,0
774,2,Passenger_774,female,28.5,2.0,4,51840,86.14,A31,C,0
469,2,Passenger_469,male,30.9,2.0,2,95021,23.82,E141,C,0
669,1,Passenger_669,male,,0.0,1,52725,92.19,C122,S,1
139,2,Passenger_139,female,33.7,3.0,1,88238,21.24,D21,S,0
588,1,Passenger_588,female,37.0,0.0,2,49008,36.94,E68,,1
414,3,Passenger_414,male,11.0,2.0,3,66664,48.18,B115,S,1
178,2,Passenger_178,female,25.8,3.0,3,65977,-21.18,E32,C,1
717,3,Passenger_717,female,22.1,1.0,3,19237,95.85,A86,S,1
346,3,Passenger_346,female,nan,0.0,1,86930,58.81,A43,,1
64,2,Passenger_64,female,35.8,1.0,4,39932,61.28,B80,Q,0
757,3,Passenger_757,male,19.0,3.0,4,60427,18.25,D82,S,0
543,2,Passenger_543,male,38.9,4.0,3,25813,44.92,nan113,S,0
974,2,Passenger_974,male,38.3,1.0,2,85507,35.02,E127,S,0
422,3,Passenger_422,male,46.1,2.0,1,81483,146.57,E81,S,0
777,2,Passenger_777,male,33.6,2.0,3,43190,,,S,0
376,2,Passenger_376,female,7.7,1.0,2,41791,27.38,D147,S,1
328,3,Passenger_328,male,5.3,2.0,4,10418,,C67,S,1
484,3,Passenger_484,female,36.3,4.0,1,15774,98.6,A80,C,1
913,3,Passenger_913,female,31.2,3.0,3,99122,53.87,,,0
912,2,Passenger_912,male,,0.0,3,55477,-49.69,D91,C,0
546,2,Passenger_546,male,26.6,2.0,4,30360,127.3,E25,C,1
882,3,Passenger_882,male,24.3,1.0,1,23220,114.16,B112,S,0
296,3,Passenger_296,female,5.3,2.0,2,81643,8.33,E98,C,1
69,1,Passenger_69,female,43.5,2.0,1,33965,-38.4,B145,Q,1
918,3,Passenger_918,male,46.9,4.0,3,86515,-22.33,E117,S,0
521,3,Passenger_521,male,35.7,0.0,3,33488,35.32,nan146,S,1
856,1,Passenger_856,male,27.3,1.0,0,66593,21.26,C115,,0
585,3,Passenger_585,male,17.0,0.0,0,85435,,nan6,S,1
408,1,Passenger_408,male,37.2,2.0,1,17100,,E70,S,1
273,3,Passenger_273,male,42.0,0.0,2,29028,70.41,E114,C,1
564,1,Passenger_564,male,38.6,3.0,0,11104,,B37,S,1
995,2,Passenger_995,female,12.4,4.0,4,33564,,,C,1
982,3,Passenger_982,female,30.7,3.0,1,84654,,,S,0
221,3,Passenger_221,female,39.5,2.0,3,12463,72.13,nan55,C,1
77,3,Passenger_77,female,53.5,1.0,3,25819,104.72,E122,S,0
992,3,Passenger_992,female,53.3,0.0,1,69334,-30.95,C43,S,1
648,3,Passenger_648,male,37.1,1.0,4,64685,15.63,D88,C,1
792,3,Passenger_792,male,47.7,0.0,2,23496,110.4,A101,Q,1
535,3,Passenger_535,female,31.8,2.0,1,45145,40.03,C118,S,0
743,3,Passenger_743,male,46.4,1.0,2,26808,85.73,D25,S,1
99,1,Passenger_99,female,20.1,1.0,1,78267,34.07,B17,S,0
551,3,Passenger_551,female,45.5,1.0,4,17575,50.18,B101,Q,0
362,3,Passenger_362,female,38.1,4.0,0,98584,102.02,B8,S,1
989,2,Passenger_989,male,28.6,3.0,2,79734,41.5,D101,C,1
952,3,Passenger_952,male,27.7,0.0,3,37458,47.13,E32,C,0
544,3,Passenger_544,female,45.5,3.0,1,58238,16.96,B18,S,0
645,1,Passenger_645,male,4.8,2.0,0,80780,53.18,nan20,S,0
811,3,Passenger_811,male,38.3,3.0,1,15974,,A74,S,1
934,3,Passenger_934,male,14.1,0.0,1,72409,44.02,A16,S,1
32,1,Passenger_32,male,11.3,4.0,4,81508,9.51,B59,C,0
357,1,Passenger_357,female,51.2,4.0,3,93483,,E11,S,0
924,3,Passenger_924,male,-2.1,2.0,2,80002,92.16,E85,C,0
783,2,Passenger_783,male,33.8,0.0,4,54853,56.01,nan150,S,0
919,3,Passenger_919,female,28.0,1.0,4,11670,66.14,D70,S,1
468,3,Passenger_468,male,47.9,4.0,0,76467,114.85,E5,C,0
319,1,Passenger_319,male,17.6,3.0,1,62052,28.98,nan10,,0
28,3,Passenger_28,female,26.9,1.0,1,26837,54.78,nan42,,0
707,2,Passenger_707,male,44.5,0.0,3,97813,19.37,B18,S,1
353,3,Passenger_353,male,20.0,0.0,3,17654,,E146,S,1
261,3,Passenger_261,male,37.5,0.0,0,66344,-58.89,D56,S,1
901,2,Passenger_901,female,41.9,1.0,2,84095,25.88,A44,S,0
224,2,Passenger_224,male,,3.0,2,59036,,C64,S,0
327,3,Passenger_327,female,10.1,1.0,1,28781,86.8,,,0
435,1,Passenger_435,female,,4.0,4,43846,79.76,B52,,0
599,1,Passenger_599,male,52.6,0.0,2,73524,,C46,S,1
135,3,Passenger_135,male,31.1,3.0,0,79259,21.0,C54,,1
320,2,Passenger_320,male,23.9,2.0,1,39993,91.2,nan83,S,0
685,3,Passenger_685,female,32.2,2.0,1,86282,54.78,C42,S,0
810,1,Passenger_810,female,45.9,3.0,2,34509,40.49,B56,S,0
63,3,Passenger_63,male,38.9,1.0,2,59054,63.59,E145,Q,1
196,2,Passenger_196,female,-6.3,3.0,2,83837,26.52,E118,S,0
523,3,Passenger_523,female,17.3,2.0,1,72995,149.4,C32,S,1
674,3,Passenger_674,male,,4.0,2,84445,106.73,D84,,0
833,1,Passenger_833,male,46.6,3.0,4,53310,,nan97,S,0
212,3,Passenger_212,male,200.0,4.0,3,74812,63.63,B100,S,0
165,1,Passenger_165,female,30.9,4.0,0,86961,90.18,D78,C,0
814,3,Passenger_814,female,32.7,0.0,3,66379,71.85,C103,S,1
429,2,Passenger_429,male,18.4,1.0,0,65788,65.25,A108,S,1
361,2,Passenger_361,female,47.1,0.0,2,89844,81.62,C137,S,1
634,3,Passenger_634,female,39.4,0.0,1,37505,,B42,,0
367,3,Passenger_367,female,56.4,4.0,2,16993,29.86,A39,S,0
192,3,Passenger_192,male,4.8,0.0,0,17307,20.85,nan131,S,1
499,3,Passenger_499,male,15.9,1.0,3,52220,84.14,A124,C,1
26,3,Passenger_26,female,,1.0,0,37181,82.84,D100,S,1
954,3,Passenger_954,female,16.0,2.0,0,56963,31.74,E119,S,0
16,1,Passenger_16,female,26.1,1.0,0,98374,50.38,A85,C,0
727,1,Passenger_727,female,,2.0,2,93975,68.39,nan70,,0
787,3,Passenger_787,female,35.3,3.0,3,21752,34.15,nan132,Q,1
458,3,Passenger_458,male,19.5,1.0,0,54107,93.75,D138,C,0
90,3,Passenger_90,male,8.2,4.0,3,65965,25.04,D68,C,0
504,3,Passenger_504,female,21.5,4.0,2,70080,,A11,S,0
181,2,Passenger_181,female,32.2,4.0,2,48480,29.95,nan49,S,0
478,3,Passenger_478,female,35.9,0.0,4,15149,83.92,E93,Q,1
442,3,Passenger_442,female,49.2,0.0,1,64564,-66.0,nan100,S,0
800,3,Passenger_800,male,33.1,1.0,3,14397,1200.0,A50,S,1
